category_id,category_original,category,domain_original,item_original,domain,item,baseline_kgco2e_per_capita,is_placeholder,baseline_tco2e_per_capita,baseline_share_pct
flights_passenger_flights,Flyg - Flygresor,Flights - Passenger flights,Flyg,Flygresor,Flights,Passenger flights,849.8395,False,0.8498395000000001,14.81734632283891
housing_district_heating_and_other_energy_for_heating_and_cooling,Bostaden - fjärrvärme och annan energi för uppvärmning och kylning,Housing - District heating and other energy for heating and cooling,Bostaden,fjärrvärme och annan energi för uppvärmning och kylning,Housing,District heating and other energy for heating and cooling,506.3924,False,0.5063924,8.829186647659434
local_transport_direct_emissions_from_vehicle_use,Lokala transporter - direkta utsläpp från fordonsanvändning,Local transport - Direct emissions from vehicle use,Lokala transporter,direkta utsläpp från fordonsanvändning,Local transport,Direct emissions from vehicle use,410.0331,False,0.4100331,7.149117505749307
food_and_drink_meat,Mat och dryck - kött,Food and drink - Meat,Mat och dryck,kött,Food and drink,Meat,289.9323,False,0.2899323,5.055104286488481
housing_imputed_rent_for_owned_permanent_dwelling,Bostaden - uppskattad hyra för egen bostad (ägd permanentbostad),Housing - Imputed rent for owned permanent dwelling,Bostaden,uppskattad hyra för egen bostad (ägd permanentbostad),Housing,Imputed rent for owned permanent dwelling,240.1408,False,0.24014080000000002,4.186966362287931
food_and_drink_milk_cheese_other_dairy_products_and_eggs,"Mat och dryck - mjölk, ost, övriga mejeriprodukter, ägg","Food and drink - Milk, cheese, other dairy products and eggs",Mat och dryck,"mjölk, ost, övriga mejeriprodukter, ägg",Food and drink,"Milk, cheese, other dairy products and eggs",229.2876,False,0.2292876,3.997735780382717
other_consumption_hotels_cafes_and_restaurants,"Övrigt - Hotell, kaféer och restauranger","Other consumption - Hotels, cafés and restaurants",Övrigt,"Hotell, kaféer och restauranger",Other consumption,"Hotels, cafés and restaurants",200.3526,False,0.2003526,3.4932406188241596
clothing_and_shoes_clothing,Kläder och skor - kläder,Clothing and shoes - Clothing,Kläder och skor,kläder,Clothing and shoes,Clothing,177.6083,False,0.17760830000000002,3.096683186543659
food_and_drink_vegetables_root_crops_and_legumes,"Mat och dryck - grönsaker, rotfrukter, baljväxter","Food and drink - Vegetables, root crops and legumes",Mat och dryck,"grönsaker, rotfrukter, baljväxter",Food and drink,"Vegetables, root crops and legumes",145.0465,False,0.14504650000000002,2.5289530828064053
local_transport_fuels_and_lubricants,Lokala transporter - bränslen och smörjmedel,Local transport - Fuels and lubricants,Lokala transporter,bränslen och smörjmedel,Local transport,Fuels and lubricants,124.8679,False,0.1248679,2.1771298214611305
food_and_drink_fruit_and_nuts,Mat och dryck - frukter och nötter,Food and drink - Fruit and nuts,Mat och dryck,frukter och nötter,Food and drink,Fruit and nuts,122.7708,False,0.1227708,2.1405659091298896
