category_id,category_original,category,domain_original,domain,item_original,item
flights_passenger_flights,Flyg - Flygresor,Flights - Passenger flights,Flyg,Flights,Flygresor,Passenger flights
housing_district_heating_and_other_energy_for_heating_and_cooling,Bostaden - fjärrvärme och annan energi för uppvärmning och kylning,Housing - District heating and other energy for heating and cooling,Bostaden,Housing,fjärrvärme och annan energi för uppvärmning och kylning,District heating and other energy for heating and cooling
local_transport_direct_emissions_from_vehicle_use,Lokala transporter - direkta utsläpp från fordonsanvändning,Local transport - Direct emissions from vehicle use,Lokala transporter,Local transport,direkta utsläpp från fordonsanvändning,Direct emissions from vehicle use
food_and_drink_meat,Mat och dryck - kött,Food and drink - Meat,Mat och dryck,Food and drink,kött,Meat
housing_imputed_rent_for_owned_permanent_dwelling,Bostaden - uppskattad hyra för egen bostad (ägd permanentbostad),Housing - Imputed rent for owned permanent dwelling,Bostaden,Housing,uppskattad hyra för egen bostad (ägd permanentbostad),Imputed rent for owned permanent dwelling
food_and_drink_milk_cheese_other_dairy_products_and_eggs,"Mat och dryck - mjölk, ost, övriga mejeriprodukter, ägg","Food and drink - Milk, cheese, other dairy products and eggs",Mat och dryck,Food and drink,"mjölk, ost, övriga mejeriprodukter, ägg","Milk, cheese, other dairy products and eggs"
other_consumption_hotels_cafes_and_restaurants,"Övrigt - Hotell, kaféer och restauranger","Other consumption - Hotels, cafés and restaurants",Övrigt,Other consumption,"Hotell, kaféer och restauranger","Hotels, cafés and restaurants"
clothing_and_shoes_clothing,Kläder och skor - kläder,Clothing and shoes - Clothing,Kläder och skor,Clothing and shoes,kläder,Clothing
food_and_drink_vegetables_root_crops_and_legumes,"Mat och dryck - grönsaker, rotfrukter, baljväxter","Food and drink - Vegetables, root crops and legumes",Mat och dryck,Food and drink,"grönsaker, rotfrukter, baljväxter","Vegetables, root crops and legumes"
local_transport_fuels_and_lubricants,Lokala transporter - bränslen och smörjmedel,Local transport - Fuels and lubricants,Lokala transporter,Local transport,bränslen och smörjmedel,Fuels and lubricants
food_and_drink_fruit_and_nuts,Mat och dryck - frukter och nötter,Food and drink - Fruit and nuts,Mat och dryck,Food and drink,frukter och nötter,Fruit and nuts
leisure_sport_and_culture_package_holidays,"Fritid, sport, kultur - paketresor","Leisure, sport and culture - Package holidays","Fritid, sport, kultur","Leisure, sport and culture",paketresor,Package holidays
housing_actual_rent_for_rented_permanent_dwelling,"Bostaden - faktisk hyra, hyresrätt (permanentbostad)",Housing - Actual rent for rented permanent dwelling,Bostaden,Housing,"faktisk hyra, hyresrätt (permanentbostad)",Actual rent for rented permanent dwelling
local_transport_cars,Lokala transporter - bilar,Local transport - Cars,Lokala transporter,Local transport,bilar,Cars
food_and_drink_bread_and_cereal_products,Mat och dryck - bröd och spannmålsprodukter,Food and drink - Bread and cereal products,Mat och dryck,Food and drink,bröd och spannmålsprodukter,Bread and cereal products
food_and_drink_sugar_confectionery_and_desserts,"Mat och dryck - socker, konfektyr och efterrätter","Food and drink - Sugar, confectionery and desserts",Mat och dryck,Food and drink,"socker, konfektyr och efterrätter","Sugar, confectionery and desserts"
other_consumption_furniture_furnishings_and_carpets,"Övrigt - furniture, furnishings, carpets","Other consumption - Furniture, furnishings and carpets",Övrigt,Other consumption,"furniture, furnishings, carpets","Furniture, furnishings and carpets"
other_consumption_information_and_communication_equipment,Övrigt - informations- och kommunikationsutrustning,Other consumption - Information and communication equipment,Övrigt,Other consumption,informations- och kommunikationsutrustning,Information and communication equipment
other_consumption_medicines,Övrigt - medicines,Other consumption - Medicines,Övrigt,Other consumption,medicines,Medicines
