scenario_id,scenario_name,year,category_id,category,domain,baseline_kgco2e_per_capita,adoption_fraction,combined_reduction_fraction,emissions_kgco2e_per_capita,reduction_kgco2e_per_capita
S1,Scenario 1,2026,flights_passenger_flights,Flights - Passenger flights,Flights,849.8395,0.0,0.0,849.8395,0.0
S1,Scenario 1,2026,housing_district_heating_and_other_energy_for_heating_and_cooling,Housing - District heating and other energy for heating and cooling,Housing,506.3924,0.0,0.0,506.3924,0.0
S1,Scenario 1,2026,local_transport_direct_emissions_from_vehicle_use,Local transport - Direct emissions from vehicle use,Local transport,410.0331,0.0,0.0,410.0331,0.0
S1,Scenario 1,2026,food_and_drink_meat,Food and drink - Meat,Food and drink,289.9323,0.0,0.0,289.9323,0.0
S1,Scenario 1,2026,housing_imputed_rent_for_owned_permanent_dwelling,Housing - Imputed rent for owned permanent dwelling,Housing,240.1408,0.0,0.0,240.1408,0.0
S1,Scenario 1,2026,food_and_drink_milk_cheese_other_dairy_products_and_eggs,"Food and drink - Milk, cheese, other dairy products and eggs",Food and drink,229.2876,0.0,0.0,229.2876,0.0
S1,Scenario 1,2026,other_consumption_hotels_cafes_and_restaurants,"Other consumption - Hotels, cafés and restaurants",Other consumption,200.3526,0.0,0.0,200.3526,0.0
S1,Scenario 1,2026,clothing_and_shoes_clothing,Clothing and shoes - Clothing,Clothing and shoes,177.6083,0.0,0.0,177.6083,0.0
S1,Scenario 1,2026,food_and_drink_vegetables_root_crops_and_legumes,"Food and drink - Vegetables, root crops and legumes",Food and drink,145.0465,0.0,0.0,145.0465,0.0
S1,Scenario 1,2026,local_transport_fuels_and_lubricants,Local transport - Fuels and lubricants,Local transport,124.8679,0.0,0.0,124.8679,0.0
S1,Scenario 1,2026,food_and_drink_fruit_and_nuts,Food and drink - Fruit and nuts,Food and drink,122.7708,0.0,0.0,122.7708,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_package_holidays,"Leisure, sport and culture - Package holidays","Leisure, sport and culture",121.6209,0.0,0.0,121.6209,0.0
S1,Scenario 1,2026,housing_actual_rent_for_rented_permanent_dwelling,Housing - Actual rent for rented permanent dwelling,Housing,124.7562,0.0,0.0,124.7562,0.0
S1,Scenario 1,2026,local_transport_cars,Local transport - Cars,Local transport,104.1669,0.0,0.0,104.1669,0.0
S1,Scenario 1,2026,food_and_drink_bread_and_cereal_products,Food and drink - Bread and cereal products,Food and drink,104.6514,0.0,0.0,104.6514,0.0
S1,Scenario 1,2026,food_and_drink_sugar_confectionery_and_desserts,"Food and drink - Sugar, confectionery and desserts",Food and drink,102.6101,0.0,0.0,102.6101,0.0
S1,Scenario 1,2026,other_consumption_furniture_furnishings_and_carpets,"Other consumption - Furniture, furnishings and carpets",Other consumption,93.87308,0.0,0.0,93.87308,0.0
S1,Scenario 1,2026,other_consumption_information_and_communication_equipment,Other consumption - Information and communication equipment,Other consumption,85.56549,0.0,0.0,85.56549,0.0
S1,Scenario 1,2026,other_consumption_medicines,Other consumption - Medicines,Other consumption,85.34169,0.0,0.0,85.34169,0.0
S1,Scenario 1,2026,food_and_drink_ready_made_meals_and_other_food_products,Food and drink - Ready-made meals and other food products,Food and drink,83.47034,0.0,0.0,83.47034,0.0
S1,Scenario 1,2026,local_transport_passenger_transport_by_sea,Local transport - Passenger transport by sea,Local transport,75.27207,0.0,0.0,75.27207,0.0
S1,Scenario 1,2026,other_consumption_other_appliances_and_products_for_personal_care,Other consumption - Other appliances and products for personal care,Other consumption,72.39924,0.0,0.0,72.39924,0.0
S1,Scenario 1,2026,housing_electricity,Housing - Electricity,Housing,57.17375,0.0,0.0,57.17375,0.0
S1,Scenario 1,2026,housing_direct_emissions_from_heating,Housing - Direct emissions from heating,Housing,50.47222,0.0,0.0,50.47222,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_garden_products_plants_and_flowers,"Leisure, sport and culture - Garden products, plants and flowers","Leisure, sport and culture",55.99662,0.0,0.0,55.99662,0.0
S1,Scenario 1,2026,food_and_drink_fish_and_seafood,Food and drink - Fish and seafood,Food and drink,56.70087,0.0,0.0,56.70087,0.0
S1,Scenario 1,2026,clothing_and_shoes_shoes_and_other_footwear,Clothing and shoes - Shoes and other footwear,Clothing and shoes,50.41063,0.0,0.0,50.41063,0.0
S1,Scenario 1,2026,other_consumption_information_and_communication_services,Other consumption - Information and communication services,Other consumption,47.86256,0.0,0.0,47.86256,0.0
S1,Scenario 1,2026,other_consumption_household_appliances,Other consumption - Household appliances,Other consumption,42.5664,0.0,0.0,42.5664,0.0
S1,Scenario 1,2026,other_consumption_goods_and_services_for_household_maintenance,Other consumption - Goods and services for household maintenance,Other consumption,42.47462,0.0,0.0,42.47462,0.0
S1,Scenario 1,2026,food_and_drink_wine,Food and drink - Wine,Food and drink,39.43027,0.0,0.0,39.43027,0.0
S1,Scenario 1,2026,local_transport_public_transport_and_other_combined_trips,Local transport - Public transport and other combined trips,Local transport,41.17072,0.0,0.0,41.17072,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_recreation_and_sport_services,"Leisure, sport and culture - Recreation and sport services","Leisure, sport and culture",38.68849,0.0,0.0,38.68849,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_games_toys_and_hobby_articles,"Leisure, sport and culture - Games, toys and hobby articles","Leisure, sport and culture",38.33197,0.0,0.0,38.33197,0.0
S1,Scenario 1,2026,food_and_drink_oils_and_fats,Food and drink - Oils and fats,Food and drink,37.36086,0.0,0.0,37.36086,0.0
S1,Scenario 1,2026,local_transport_maintenance_and_repairs,Local transport - Maintenance and repairs,Local transport,33.37569,0.0,0.0,33.37569,0.0
S1,Scenario 1,2026,food_and_drink_fruit_and_vegetable_juices,Food and drink - Fruit and vegetable juices,Food and drink,34.04544,0.0,0.0,34.04544,0.0
S1,Scenario 1,2026,leisure_sport_and_culture_pets_and_pet_products,"Leisure, sport and culture - Pets and pet products","Leisure, sport and culture",30.02136,0.0,0.0,30.02136,0.0
S1,Scenario 1,2026,other_consumption_accommodation_services,Other consumption - Accommodation services,Other consumption,29.12607,0.0,0.0,29.12607,0.0
