category_id,category,domain,baseline_kgco2e_cap,coicop_codes,sek_per_capita_2021,implied_intensity_kgco2e_per_sek,flag,note
flights_passenger_flights,Flights - Passenger flights,Flights,849.8395,0733,5800,0.14652,PHYSICAL,COICOP 0733 drastically understates true air-travel activity (spend routes partly through package holidays and outbound spending abroad). Dawkins et al. (2024) source air-travel emissions from a separate physical dataset. We anchor flights to national per-capita air-travel distance instead of SEK: see FLIGHTS_KM_PER_CAPITA below.
housing_district_heating_and_other_energy_for_heating_and_cooling,Housing - District heating and other energy for heating and cooling,Housing,506.3924,0455,4358.6,0.11618,LOW-CONF,0455 covers purchased district heat only; 'cooling' component not separately coded
local_transport_direct_emissions_from_vehicle_use,Local transport - Direct emissions from vehicle use,Local transport,410.0331,,,,DIRECT,"Physical tailpipe combustion (InsightOne/Transport Agency vehicle-km data), not COICOP expenditure. Use vehicle-km, not SEK."
food_and_drink_meat,Food and drink - Meat,Food and drink,289.9323,0112,4617.5,0.06279,OK,
housing_imputed_rent_for_owned_permanent_dwelling,Housing - Imputed rent for owned permanent dwelling,Housing,240.1408,0421,20131.5,0.01193,OK,
food_and_drink_milk_cheese_other_dairy_products_and_eggs,"Food and drink - Milk, cheese, other dairy products and eggs",Food and drink,229.2876,0114,4050.5,0.05661,OK,
other_consumption_hotels_cafes_and_restaurants,"Other consumption - Hotels, cafés and restaurants",Other consumption,200.3526,111,11083.9,0.01808,OK,
clothing_and_shoes_clothing,Clothing and shoes - Clothing,Clothing and shoes,177.6083,0312,6871.2,0.02585,OK,
food_and_drink_vegetables_root_crops_and_legumes,"Food and drink - Vegetables, root crops and legumes",Food and drink,145.0465,0117,3194.5,0.04541,OK,
local_transport_fuels_and_lubricants,Local transport - Fuels and lubricants,Local transport,124.8679,0722,4585.0,0.02723,OK,
food_and_drink_fruit_and_nuts,Food and drink - Fruit and nuts,Food and drink,122.7708,0116,2444.6,0.05022,OK,
leisure_sport_and_culture_package_holidays,"Leisure, sport and culture - Package holidays","Leisure, sport and culture",121.6209,096,303.9,0.4002,LOW-CONF,COICOP package-holiday spend understates footprint since it excludes the flight portion sold separately
housing_actual_rent_for_rented_permanent_dwelling,Housing - Actual rent for rented permanent dwelling,Housing,124.7562,0411,11380.6,0.01096,OK,
local_transport_cars,Local transport - Cars,Local transport,104.1669,0711,8304.5,0.01254,OK,
food_and_drink_bread_and_cereal_products,Food and drink - Bread and cereal products,Food and drink,104.6514,0111,4098.0,0.02554,OK,
