scenario_id,scenario_name,transition_logic,source_sheet,source_row,category_id,category_original,category,domain,item,baseline_kgco2e_per_capita,L_max_adoption,k_adoption_speed,t0_inflection_year,combined_reduction_fraction,technical_reduction_fraction,behavioral_reduction_fraction,assumption_note_original,assumption_note,references,combined_reduction_recalculated,combined_reduction_difference
S1,Scenario 1,Limited change / static reference,Scenario1,2,local_transport_cars,Lokala transporter - bilar,Local transport - Cars,Local transport,Cars,104.1669,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,3,local_transport_fuels_and_lubricants,Lokala transporter - bränslen och smörjmedel,Local transport - Fuels and lubricants,Local transport,Fuels and lubricants,124.8679,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,4,local_transport_direct_emissions_from_vehicle_use,Lokala transporter - direkta utsläpp från fordonsanvändning,Local transport - Direct emissions from vehicle use,Local transport,Direct emissions from vehicle use,410.0331,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,5,housing_district_heating_and_other_energy_for_heating_and_cooling,Bostaden - fjärrvärme och annan energi för uppvärmning och kylning,Housing - District heating and other energy for heating and cooling,Housing,District heating and other energy for heating and cooling,506.3924,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,6,housing_direct_emissions_from_heating,Bostaden - direkta utsläpp från uppvärmning,Housing - Direct emissions from heating,Housing,Direct emissions from heating,50.47222,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,7,clothing_and_shoes_clothing,Kläder och skor - kläder,Clothing and shoes - Clothing,Clothing and shoes,Clothing,177.6083,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,8,other_consumption_furniture_furnishings_and_carpets,"Övrigt - furniture, furnishings, carpets","Other consumption - Furniture, furnishings and carpets",Other consumption,"Furniture, furnishings and carpets",93.87308,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,9,other_consumption_information_and_communication_equipment,Övrigt - informations- och kommunikationsutrustning,Other consumption - Information and communication equipment,Other consumption,Information and communication equipment,85.56549,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,10,other_consumption_other_appliances_and_products_for_personal_care,Övrigt - other appliances and products for personal care,Other consumption - Other appliances and products for personal care,Other consumption,Other appliances and products for personal care,72.39924,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,11,other_consumption_home_and_garden_tools,Övrigt - home and garden tools,Other consumption - Home and garden tools,Other consumption,Home and garden tools,20.05375,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,12,clothing_and_shoes_shoes_and_other_footwear,Kläder och skor - skor och andra skodon,Clothing and shoes - Shoes and other footwear,Clothing and shoes,Shoes and other footwear,50.41063,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,13,other_consumption_household_appliances,Övrigt - household appliances,Other consumption - Household appliances,Other consumption,Household appliances,42.5664,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,14,other_consumption_household_textiles,Övrigt - household textiles,Other consumption - Household textiles,Other consumption,Household textiles,22.88734,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,15,clothing_and_shoes_other_garments_and_clothing_accessories,Kläder och skor - andra klädesplagg och klädestillbehörs,Clothing and shoes - Other garments and clothing accessories,Clothing and shoes,Other garments and clothing accessories,16.67224,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
S1,Scenario 1,Limited change / static reference,Scenario1,16,leisure_sport_and_culture_games_toys_and_hobby_articles,"Fritid, sport, kultur - spel, leksaker och hobbyartiklar","Leisure, sport and culture - Games, toys and hobby articles","Leisure, sport and culture","Games, toys and hobby articles",38.33197,0.0,0.4,2030,0.0,0.0,0.0,,,,0.0,0.0
