variant_id,variant,parameter_group,emissions_2030_tco2e_per_capita,emissions_2050_tco2e_per_capita,delta_2030_vs_base_tco2e_per_capita,delta_2050_vs_base_tco2e_per_capita,gap_2030_tco2e_per_capita,gap_2050_tco2e_per_capita
base,Base Scenario 4,Base,3.1998428527155953,1.0603949397940255,0.0,0.0,0.09984285271559523,0.06039493979402555
t0_minus_5,All adoption 5 years earlier,Adoption timing,1.9066776032614319,1.0280385303089137,-1.2931652494541634,-0.03235640948511187,-1.1933223967385682,0.02803853030891368
t0_minus_2,All adoption 2 years earlier,Adoption timing,2.5358403567015917,1.043568553515321,-0.6640024960140036,-0.016826386278704586,-0.5641596432984084,0.04356855351532096
t0_plus_2,All adoption 2 years later,Adoption timing,3.8771484902032833,1.0853034121038583,0.677305637487688,0.02490847230983273,0.7771484902032832,0.08530341210385828
t0_plus_5,All adoption 5 years later,Adoption timing,4.566059221973056,1.146451860037022,1.3662163692574607,0.08605692024299638,1.466059221973056,0.14645186003702193
k_0_1,Slow adoption speed k=0.1,Adoption speed,3.285821551005069,1.480121881947493,0.08597869828947369,0.4197269421534675,0.18582155100506892,0.48012188194749306
k_0_2,Adoption speed k=0.2,Adoption speed,3.1998428527155953,1.0742703078458633,0.0,0.013875368051837755,0.09984285271559523,0.0742703078458633
k_0_3,Adoption speed k=0.3,Adoption speed,3.114716131266464,1.0173087358759743,-0.08512672144913136,-0.04308620391805129,0.014716131266463872,0.017308735875974257
k_0_4,Fast adoption speed k=0.4,Adoption speed,3.0308464145072134,1.0100657452198312,-0.16899643820838195,-0.05032919457419438,-0.06915358549278672,0.010065745219831168
L_hard_75,Hard-to-change maximum adoption reduced by 25%,Maximum adoption,3.547964938778983,1.7045676645809154,0.34812208606338757,0.6441727247868898,0.4479649387789828,0.7045676645809154
L_hard_50,Hard-to-change maximum adoption reduced by 50%,Maximum adoption,3.89608702484237,2.348740389367806,0.6962441721267747,1.2883454495737803,0.7960870248423699,1.3487403893678058
tech70_to_50,Generic 70% technology reduction reduced to 50%,Technology,3.4946177616120617,1.592998408074271,0.2947749088964664,0.5326034682802454,0.39461776161206163,0.592998408074271
tech70_to_90,Generic 70% technology reduction increased to 90%,Technology,2.9050679438191294,0.5277914715137796,-0.29477490889646596,-0.532603468280246,-0.19493205618087073,-0.4722085284862204
no_ccs,No CCS in heating,CCS,3.4426893790676383,1.5406006556326028,0.24284652635204296,0.4802057158385773,0.3426893790676382,0.5406006556326028
partial_ccs,Partial CCS in heating,CCS,3.3205723323297205,1.2992546341677615,0.12072947961412517,0.238859694373736,0.2205723323297204,0.29925463416776155
delayed_ccs,CCS delayed by 5 years,CCS,3.4486579772829327,1.0615646336232654,0.24881512456733734,0.0011696938292398151,0.3486579772829326,0.061564633623265363
aviation_low,Lower aviation demand and technology improvement,Aviation,3.274203808965595,1.2090669783812655,0.07436095624999961,0.14867203858723999,0.17420380896559484,0.20906697838126553
food_low,Weaker food-system assumptions,Food,3.328302993416522,1.2905776260766308,0.12846014070092648,0.2301826862826053,0.22830299341652172,0.29057762607663085
target2030_3_0,Alternative 2030 target of 3.0 t,Target interpretation,3.1998428527155953,1.0603949397940255,0.0,0.0,0.19984285271559532,0.06039493979402555
baseline_growth_0_5_pct,Dynamic baseline with 0.5% annual growth,Baseline,3.264321288119144,1.19523452302756,0.06447843540354858,0.1348395832335345,0.16432128811914382,0.19523452302756006
baseline_decline_0_5_pct,Dynamic baseline with 0.5% annual decline,Baseline,3.136324374167665,0.940202895886196,-0.06351847854793036,-0.12019204390782956,0.036324374167664875,-0.05979710411380401
