variant_id,variant,parameter_group,emissions_2030_tco2e_per_capita,emissions_2050_tco2e_per_capita,delta_2030_vs_base_tco2e_per_capita,delta_2050_vs_base_tco2e_per_capita,gap_2030_tco2e_per_capita,gap_2050_tco2e_per_capita
base,Base Scenario 4,Base,3.1998428527155958,1.0603949397940255,0.0,0.0,0.0998428527155952,0.0603949397940255
t0_minus_5,All adoption 5 years earlier,Adoption timing,1.906677603261432,1.0280385303089137,-1.2931652494541634,-0.0323564094851118,-1.1933223967385682,0.0280385303089136
t0_minus_2,All adoption 2 years earlier,Adoption timing,2.535840356701592,1.043568553515321,-0.6640024960140036,-0.0168263862787045,-0.5641596432984084,0.0435685535153209
t0_plus_2,All adoption 2 years later,Adoption timing,3.8771484902032833,1.0853034121038585,0.677305637487688,0.0249084723098327,0.7771484902032832,0.0853034121038582
t0_plus_5,All adoption 5 years later,Adoption timing,4.566059221973056,1.146451860037022,1.3662163692574607,0.0860569202429963,1.466059221973056,0.1464518600370219
k_0_1,Slow adoption speed k=0.1,Adoption speed,3.285821551005069,1.480121881947493,0.0859786982894736,0.4197269421534675,0.1858215510050689,0.480121881947493
k_0_2,Adoption speed k=0.2,Adoption speed,3.1998428527155958,1.0742703078458633,0.0,0.0138753680518377,0.0998428527155952,0.0742703078458633
k_0_3,Adoption speed k=0.3,Adoption speed,3.114716131266464,1.0173087358759745,-0.0851267214491313,-0.0430862039180512,0.0147161312664638,0.0173087358759742
k_0_4,Fast adoption speed k=0.4,Adoption speed,3.0308464145072134,1.0100657452198312,-0.1689964382083819,-0.0503291945741943,-0.0691535854927867,0.0100657452198311
L_hard_75,Hard-to-change maximum adoption reduced by 25%,Maximum adoption,3.547964938778983,1.7045676645809154,0.3481220860633875,0.6441727247868898,0.4479649387789828,0.7045676645809154
L_hard_50,Hard-to-change maximum adoption reduced by 50%,Maximum adoption,3.89608702484237,2.348740389367806,0.6962441721267747,1.2883454495737805,0.7960870248423699,1.3487403893678058
tech70_to_50,Generic 70% technology reduction reduced to 50%,Technology,3.4946177616120617,1.592998408074271,0.2947749088964664,0.5326034682802454,0.3946177616120616,0.592998408074271
tech70_to_90,Generic 70% technology reduction increased to 90%,Technology,2.9050679438191294,0.5277914715137796,-0.2947749088964659,-0.532603468280246,-0.1949320561808707,-0.4722085284862204
no_ccs,No CCS in heating,CCS,3.4426893790676383,1.5406006556326028,0.2428465263520429,0.4802057158385773,0.3426893790676382,0.5406006556326028
partial_ccs,Partial CCS in heating,CCS,3.3205723323297205,1.2992546341677615,0.1207294796141251,0.238859694373736,0.2205723323297204,0.2992546341677615
delayed_ccs,CCS delayed by 5 years,CCS,3.4486579772829327,1.0615646336232654,0.2488151245673373,0.0011696938292398,0.3486579772829326,0.0615646336232653
aviation_low,Lower aviation demand and technology improvement,Aviation,3.274203808965595,1.2090669783812655,0.0743609562499996,0.1486720385872399,0.1742038089655948,0.2090669783812655
food_low,Weaker food-system assumptions,Food,3.328302993416522,1.2905776260766308,0.1284601407009264,0.2301826862826053,0.2283029934165217,0.2905776260766308
target2030_3_0,Alternative 2030 target of 3.0 t,Target interpretation,3.1998428527155958,1.0603949397940255,0.0,0.0,0.1998428527155953,0.0603949397940255
baseline_growth_0_5_pct,Dynamic baseline with 0.5% annual growth,Baseline,3.264321288119144,1.19523452302756,0.0644784354035485,0.1348395832335345,0.1643212881191438,0.19523452302756
baseline_decline_0_5_pct,Dynamic baseline with 0.5% annual decline,Baseline,3.136324374167665,0.940202895886196,-0.0635184785479303,-0.1201920439078295,0.0363243741676648,-0.059797104113804
