category_id,Category,Domain,Baseline (kg CO₂e/cap),Behavioural reduction,Technological reduction,Combined reduction,Max adoption (L),Adoption speed (k),Inflection year (t₀),Assumption note,Activity metric,Activity unit,"Baseline activity M0,c","Baseline intensity I0,c (kgCO2e/unit)",Activity data source,Confidence flag
flights_passenger_flights,Flights - Passenger flights,Flights,849.8395,0.75,0.7,0.925,1.0,0.4,2030,"All residents fly much less, and aviation becomes less CO2-intensive through alternative fuels.",International air travel distance,km/cap/year (national average),5800,0.14652,Larsson et al. (2018); Kamb & Larsson (2019),"PHYSICAL - national literature average, not Malmö-specific"
housing_district_heating_and_other_energy_for_heating_and_cooling,Housing - District heating and other energy for heating and cooling,Housing,506.3924,0.1,1.0,1.0,0.95,1.0,2030,95% of households are covered by CCS around 2030.,0455,"SEK/cap/year (national average, 2021)",4358.6,0.11618,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - 0455 covers purchased district heat only; 'cooling' component not separately coded
local_transport_direct_emissions_from_vehicle_use,Local transport - Direct emissions from vehicle use,Local transport,410.0331,0.0,1.0,1.0,1.0,0.2,2029,100% electric cars by 2050.,Vehicle fuel combusted (direct),physical fuel/vehicle-use volume (not separately quantified),,,"Statistics Sweden direct-emissions series (physical, non-monetary)",DIRECT - already activity-linked in source data; SEK not applicable
food_and_drink_meat,Food and drink - Meat,Food and drink,289.9323,0.8,0.7,0.94,1.0,0.2,2029,90% of residents reduce meat consumption by 80% by 2050; food waste is reduced and production becomes more efficient.,0112,"SEK/cap/year (national average, 2021)",4617.5,0.06279,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_imputed_rent_for_owned_permanent_dwelling,Housing - Imputed rent for owned permanent dwelling,Housing,240.1408,0.25,0.7,0.7749999999999999,0.75,0.2,2029,"75% of the population lives in 25% less space, but the change is slow because of building lifetimes.",0421,"SEK/cap/year (national average, 2021)",20131.5,0.01193,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_milk_cheese_other_dairy_products_and_eggs,"Food and drink - Milk, cheese, other dairy products and eggs",Food and drink,229.2876,0.5,0.7,0.85,1.0,0.2,2029,75% of residents reduce dairy consumption by 75% by 2050; food waste is reduced and production becomes more efficient.,0114,"SEK/cap/year (national average, 2021)",4050.5,0.05661,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_hotels_cafes_and_restaurants,"Other consumption - Hotels, cafés and restaurants",Other consumption,200.3526,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,111,"SEK/cap/year (national average, 2021)",11083.9,0.01808,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
clothing_and_shoes_clothing,Clothing and shoes - Clothing,Clothing and shoes,177.6083,0.75,0.7,0.925,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0312,"SEK/cap/year (national average, 2021)",6871.2,0.02585,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_vegetables_root_crops_and_legumes,"Food and drink - Vegetables, root crops and legumes",Food and drink,145.0465,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0117,"SEK/cap/year (national average, 2021)",3194.5,0.04541,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_fuels_and_lubricants,Local transport - Fuels and lubricants,Local transport,124.8679,0.9,0.9,0.99,1.0,0.2,2029,100% electric cars; lubricants remain.,0722,"SEK/cap/year (national average, 2021)",4585.0,0.02723,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_actual_rent_for_rented_permanent_dwelling,Housing - Actual rent for rented permanent dwelling,Housing,124.7562,0.25,0.25,0.4375,1.0,0.2,2029,"75% of the population lives in slightly less space, but the change is slow because of building lifetimes.",0411,"SEK/cap/year (national average, 2021)",11380.6,0.01096,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_fruit_and_nuts,Food and drink - Fruit and nuts,Food and drink,122.7708,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0116,"SEK/cap/year (national average, 2021)",2444.6,0.05022,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_package_holidays,"Leisure, sport and culture - Package holidays","Leisure, sport and culture",121.6209,0.75,0.7,0.925,1.0,0.2,2029,Package holidays are treated as flights.,096,"SEK/cap/year (national average, 2021)",303.9,0.4002,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - COICOP package-holiday spend understates footprint since it excludes the flight portion sold separately
food_and_drink_bread_and_cereal_products,Food and drink - Bread and cereal products,Food and drink,104.6514,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0111,"SEK/cap/year (national average, 2021)",4098.0,0.02554,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_cars,Local transport - Cars,Local transport,104.1669,0.5,0.7,0.85,1.0,0.2,2029,"50% fewer cars by 2050, but each car has the same footprint as today.",0711,"SEK/cap/year (national average, 2021)",8304.5,0.01254,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_sugar_confectionery_and_desserts,"Food and drink - Sugar, confectionery and desserts",Food and drink,102.6101,0.5,0.7,0.85,1.0,0.2,2029,Sweets and fika consumption are halved for health and climate-footprint reasons.,0118,"SEK/cap/year (national average, 2021)",3472.9,0.02955,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_furniture_furnishings_and_carpets,"Other consumption - Furniture, furnishings and carpets",Other consumption,93.87308,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,"0511, 0512","SEK/cap/year (national average, 2021)",5353.2,0.01754,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_information_and_communication_equipment,Other consumption - Information and communication equipment,Other consumption,85.56549,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,"0812, 0913","SEK/cap/year (national average, 2021)",3858.9,0.02217,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - Combines telecom hardware (0812) + IT hardware (0913); approximate aggregate
other_consumption_medicines,Other consumption - Medicines,Other consumption,85.34169,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0611,"SEK/cap/year (national average, 2021)",2063.3,0.04136,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_ready_made_meals_and_other_food_products,Food and drink - Ready-made meals and other food products,Food and drink,83.47034,0.5,0.7,0.85,0.75,0.2,2029,Ready-made meals contain less meat and dairy.,0119,"SEK/cap/year (national average, 2021)",1233.8,0.06765,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",LOW-CONF - Best available proxy (salt/spices/sauces/baby food); ready-meals not separately coded at 4-digit COICOP
local_transport_passenger_transport_by_sea,Local transport - Passenger transport by sea,Local transport,75.27207,0.0,0.7,0.7,0.75,0.2,2029,Sea transport becomes more efficient and is increasingly powered by alternative fuels.,0734,"SEK/cap/year (national average, 2021)",136.2,0.55266,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_other_appliances_and_products_for_personal_care,Other consumption - Other appliances and products for personal care,Other consumption,72.39924,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,1213,"SEK/cap/year (national average, 2021)",2512.6,0.02881,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_electricity,Housing - Electricity,Housing,57.17375,0.25,0.7,0.7749999999999999,1.0,0.2,2029,More renewable energy and energy efficiency in goods reduce emissions despite increased electrification.,0451,"SEK/cap/year (national average, 2021)",8292.7,0.00689,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_fish_and_seafood,Food and drink - Fish and seafood,Food and drink,56.70087,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0113,"SEK/cap/year (national average, 2021)",1472.1,0.03852,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_garden_products_plants_and_flowers,"Leisure, sport and culture - Garden products, plants and flowers","Leisure, sport and culture",55.99662,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0933,"SEK/cap/year (national average, 2021)",1724.3,0.03247,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
housing_direct_emissions_from_heating,Housing - Direct emissions from heating,Housing,50.47222,0.0,0.95,0.95,1.0,0.2,2029,100% of households using oil and pellets shift to climate-smart heating.,Heating fuel combusted (direct),physical fuel/vehicle-use volume (not separately quantified),,,"Statistics Sweden direct-emissions series (physical, non-monetary)",DIRECT - already activity-linked in source data; SEK not applicable
clothing_and_shoes_shoes_and_other_footwear,Clothing and shoes - Shoes and other footwear,Clothing and shoes,50.41063,0.75,0.7,0.925,1.0,0.2,2029,New purchases are reduced by 75% and production becomes more efficient.,0321,"SEK/cap/year (national average, 2021)",1388.2,0.03631,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_information_and_communication_services,Other consumption - Information and communication services,Other consumption,47.86256,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0813,"SEK/cap/year (national average, 2021)",4846.1,0.00988,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_household_appliances,Other consumption - Household appliances,Other consumption,42.5664,0.75,0.7,0.925,1.0,0.2,2029,New purchases are reduced by 75% and production becomes more efficient.,"0531, 0532","SEK/cap/year (national average, 2021)",1546.2,0.02753,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_goods_and_services_for_household_maintenance,Other consumption - Goods and services for household maintenance,Other consumption,42.47462,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,"0561, 0562","SEK/cap/year (national average, 2021)",2910.0,0.0146,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
local_transport_public_transport_and_other_combined_trips,Local transport - Public transport and other combined trips,Local transport,41.17072,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0735,"SEK/cap/year (national average, 2021)",1651.4,0.02493,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_wine,Food and drink - Wine,Food and drink,39.43027,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0212,"SEK/cap/year (national average, 2021)",2428.4,0.01624,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_recreation_and_sport_services,"Leisure, sport and culture - Recreation and sport services","Leisure, sport and culture",38.68849,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0941,"SEK/cap/year (national average, 2021)",4531.7,0.00854,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_games_toys_and_hobby_articles,"Leisure, sport and culture - Games, toys and hobby articles","Leisure, sport and culture",38.33197,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0931,"SEK/cap/year (national average, 2021)",1582.7,0.02422,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_oils_and_fats,Food and drink - Oils and fats,Food and drink,37.36086,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0115,"SEK/cap/year (national average, 2021)",749.6,0.04984,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_fruit_and_vegetable_juices,Food and drink - Fruit and vegetable juices,Food and drink,34.04544,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0122,"SEK/cap/year (national average, 2021)",1201.9,0.02833,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",SHARED - 0122 combined with Water & Soft drinks | SEK/cap split proportionally to baseline emissions share across 3 peers.
local_transport_maintenance_and_repairs,Local transport - Maintenance and repairs,Local transport,33.37569,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0723,"SEK/cap/year (national average, 2021)",3658.2,0.00912,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_pets_and_pet_products,"Leisure, sport and culture - Pets and pet products","Leisure, sport and culture",30.02136,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0934,"SEK/cap/year (national average, 2021)",1015.9,0.02955,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
food_and_drink_tobacco,Food and drink - Tobacco,Food and drink,30.00426,0.75,0.7,0.925,1.0,0.2,2029,Tobacco consumption is reduced by 75%.,022,"SEK/cap/year (national average, 2021)",2588.1,0.01159,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_accommodation_services,Other consumption - Accommodation services,Other consumption,29.12607,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,112,"SEK/cap/year (national average, 2021)",1748.6,0.01666,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_major_durable_goods_for_leisure,"Leisure, sport and culture - Major durable goods for leisure","Leisure, sport and culture",28.39759,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,0921,"SEK/cap/year (national average, 2021)",1452.7,0.01955,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
leisure_sport_and_culture_games_of_chance_betting_and_lotteries,"Leisure, sport and culture - Games of chance, betting and lotteries","Leisure, sport and culture",26.75462,0.0,0.7,0.7,1.0,0.2,2029,70% reduction through transition to renewable energy.,0943,"SEK/cap/year (national average, 2021)",1639.3,0.01632,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
other_consumption_glassware_tableware_and_other_utensils,"Other consumption - Glassware, tableware and other utensils",Other consumption,26.46434,0.5,0.7,0.85,1.0,0.2,2029,New purchases are reduced by 50% and production becomes more efficient.,054,"SEK/cap/year (national average, 2021)",2157.2,0.01227,"Statistics Sweden, Statistikdatabasen table 000000SG (2022)",OK - direct COICOP match
